"Date/Time (EDT)","Zone","Section","Row","Qty","Price"
"12-15-22 / 07:47 PM","Field Level","FLR-F","18","2","1619.1"
"12-15-22 / 07:47 PM","100-Level","114","26","1","585"
"12-15-22 / 07:47 PM","100-Level","120","24","2","900"
"12-15-22 / 07:47 PM","100-Level Club","126C","1A","2","1552.5"
"12-15-22 / 02:20 PM","300-Level","305","22","1","378"
"12-15-22 / 02:20 PM","S2 Suite Level","S225","3","2","1052.1"
"12-15-22 / 09:41 AM","300-Level","337","23","2","450"
"12-15-22 / 12:45 AM","100-Level","116","38","3","1012.5"
"12-15-22 / 12:45 AM","100-Level","121","31","2","1080"
"12-15-22 / 12:45 AM","Field Level","FLR-L","8","3","1575"
"12-14-22 / 07:33 PM","Field Level","FLR-H","17","2","2520"
"12-14-22 / 07:33 PM","200-Level","221","6","2","855"
"12-14-22 / 07:33 PM","300-Level","315","23","2","629.53"
"12-14-22 / 07:33 PM","200-Level","205","12","4","810"
"12-14-22 / 07:33 PM","100-Level Club","127C","11","2","1395"
"12-14-22 / 02:21 PM","300-Level","326","21","2","581.03"
"12-14-22 / 02:21 PM","300-Level","343","7","2","427.5"
"12-14-22 / 02:21 PM","100-Level","124","34","3","899.1"
"12-14-22 / 01:12 AM","300-Level","320","9","1","1080"
"12-14-22 / 01:12 AM","100-Level","106","13","1","1170"
"12-14-22 / 01:12 AM","Field Level","FLR-A","25","5","1470"
"12-14-22 / 01:12 AM","300-Level","321","28","2","784"
"12-13-22 / 07:56 PM","300-Level","307","25","3","747"
"12-13-22 / 07:56 PM","100-Level","118","42","1","809.95"
"12-13-22 / 07:56 PM","100-Level","132","36","2","712.8"
"12-13-22 / 07:56 PM","300-Level","313","20","2","675"
"12-13-22 / 03:14 PM","300-Level","332","23","2","810"
"12-13-22 / 03:14 PM","300-Level","326","21","1","495"
"12-13-22 / 03:14 PM","100-Level","125","34","3","1215"
"12-13-22 / 03:14 PM","300-Level","307","12","2","585"
"12-13-22 / 10:24 AM","300-Level","307","16","2","484.03"
"12-13-22 / 10:24 AM","300-Level","305","22","2","378"
"12-13-22 / 06:08 AM","100-Level Club","112C","23","4","2250"
"12-13-22 / 06:08 AM","300-Level","344","20","2","449.1"
"12-13-22 / 06:08 AM","100-Level Club","128C","9","2","1440"
"12-13-22 / 06:08 AM","300-Level","324","17","2","720"
